date,weekday,is_festival,guests,sales,assigned_staff,total_staff_level,staff_count
2000-01-01,Saturday,False,237,390813,"['Liam', 'Kevin', 'Quinn', 'Noah', 'Sophia', 'Hannah', 'Riley']",23,7
2000-01-02,Sunday,False,399,298851,"['Bob', 'Ivy', 'Sophia', 'Uma', 'David', 'Mia', 'Grace', 'Quinn', 'Eve', 'Jack']",39,10
2000-01-03,Monday,False,140,218120,"['Grace', 'Uma', 'Sophia', 'Bob', 'Alice']",14,5
2000-01-04,Tuesday,False,89,162514,"['Sophia', 'Tyler', 'Alice']",8,3
2000-01-05,Wednesday,False,82,139646,"['Mia', 'Jack', 'Alice']",8,3
2000-01-06,Thursday,False,111,126096,"['Riley', 'Paul', 'Hannah', 'Alice']",11,4
2000-01-07,Friday,False,136,182648,"['Eve', 'Uma', 'Olivia']",13,3
2000-01-08,Saturday,False,170,152660,"['Ivy', 'Liam', 'Eve', 'Noah', 'Alice']",17,5
2000-01-09,Sunday,False,338,353548,"['Sophia', 'Riley', 'Kevin', 'Alice', 'Frank', 'Charlie', 'Liam', 'Uma', 'Bob', 'Ivy', 'Grace']",33,11
2000-01-10,Monday,False,196,346136,"['Sophia', 'Jack', 'Liam', 'Mia', 'Bob', 'Frank', 'Alice']",19,7
2000-01-11,Tuesday,True,170,334560,"['Uma', 'Quinn', 'Charlie', 'Bob', 'Frank']",17,5
2000-01-12,Wednesday,False,140,112000,"['Paul', 'Olivia', 'Uma', 'Bob']",14,4
2000-01-13,Thursday,False,231,267498,"['Olivia', 'Alice', 'Quinn', 'Ivy', 'Hannah', 'Paul']",22,6
2000-01-14,Friday,False,245,416010,"['Paul', 'Eve', 'Grace', 'Frank', 'Quinn', 'Uma']",24,6
2000-01-15,Saturday,False,350,233800,"['Paul', 'Alice', 'Noah', 'Sophia', 'Grace', 'Bob', 'Mia', 'Quinn', 'Eve', 'Ivy']",35,10
2000-01-16,Sunday,False,294,291060,"['Hannah', 'Sophia', 'Ivy', 'Noah', 'Quinn', 'Uma', 'Bob', 'Riley', 'Alice']",29,9
2000-01-17,Monday,False,179,256865,"['Kevin', 'Noah', 'Olivia', 'Grace', 'Mia', 'Alice']",17,6
2000-01-18,Tuesday,False,103,187460,"['Kevin', 'Alice', 'Eve']",9,3
2000-01-19,Wednesday,False,224,325472,"['Noah', 'Riley', 'Bob', 'Ivy', 'Jack', 'Sophia', 'Uma', 'Alice']",22,8
2000-01-20,Thursday,False,185,194435,"['Paul', 'Mia', 'Eve', 'Kevin', 'Alice']",18,5
2000-01-21,Friday,False,202,328856,"['Alice', 'Liam', 'Eve', 'Sophia', 'David', 'Olivia']",20,6
2000-01-22,Saturday,False,132,171336,"['Tyler', 'Uma', 'Charlie', 'Alice']",13,4
2000-01-23,Sunday,False,237,413565,"['Sophia', 'Riley', 'Paul', 'Frank', 'Kevin', 'Tyler', 'Hannah', 'Alice']",23,8
2000-01-24,Monday,False,201,325419,"['Frank', 'Eve', 'Tyler', 'Quinn', 'Charlie', 'Alice']",20,6
2000-01-25,Tuesday,False,197,353221,"['Ivy', 'Liam', 'Tyler', 'Frank', 'Noah', 'Bob']",19,6
