date,sales,year,month,day,month_day,weekday_name,temperature_2m_max,temperature_2m_min,weather_code,snowfall_sum,rain_sum,holiday,week_of_year,season,festival
2022-04-01,1.0639652541355185,2022,4,1,04-01,Friday,7.3085,0.9085,Overcast,0.0,0.0,0,13,Spring,0
2022-04-02,3.4721801223692577,2022,4,2,04-02,Saturday,6.6085,-1.1915,Overcast,0.0,0.0,0,13,Spring,1
2022-04-03,-0.833416157200155,2022,4,3,04-03,Sunday,7.2085,-1.8915,Light drizzle,0.0,0.0,0,13,Spring,0
2022-04-04,2.5599775207655684,2022,4,4,04-04,Monday,8.1085005,1.3085,Light snow,0.28,6.9999995,0,14,Spring,1
2022-04-05,-1.2712734059699258,2022,4,5,04-05,Tuesday,8.7085,5.0084996,Moderate drizzle,0.0,2.3999999,0,14,Spring,0
2022-04-07,1.6477749191618793,2022,4,7,04-07,Thursday,15.1085005,7.3085,Moderate drizzle,0.0,1.8,0,14,Spring,1
2022-04-08,-1.1496463924227673,2022,4,8,04-08,Friday,9.1085005,4.5084996,Rain showers,0.0,2.2,0,14,Spring,0
2022-04-09,-0.6509756368794172,2022,4,9,04-09,Saturday,9.3085,2.9085,Light drizzle,0.0,0.0,0,14,Spring,0
2022-04-10,-0.4442097138492477,2022,4,10,04-10,Sunday,7.9084997,2.7085001,Light drizzle,0.0,0.0,0,14,Spring,0
2022-04-11,-1.1253209897133356,2022,4,11,04-11,Monday,12.3085,1.9085001,Overcast,0.0,0.0,0,15,Spring,0
2022-04-12,-1.0523447815850404,2022,4,12,04-12,Tuesday,16.1085,3.9085,Overcast,0.0,0.0,0,15,Spring,0
2022-04-14,2.8153942492146014,2022,4,14,04-14,Thursday,14.908501,9.6085005,Light rain,0.0,2.3999999,0,15,Spring,1
2022-04-15,-1.4537139262906638,2022,4,15,04-15,Friday,9.6085005,3.3085,Moderate drizzle,0.0,0.5,0,15,Spring,0
2022-04-16,-0.21311838810964642,2022,4,16,04-16,Saturday,12.5085,1.8085,Overcast,0.0,0.0,0,15,Spring,0
2022-04-17,1.0274771500713709,2022,4,17,04-17,Sunday,14.7085,3.4085,Overcast,0.0,0.0,0,15,Spring,0
2022-04-18,-0.249606492173794,2022,4,18,04-18,Monday,15.3085,3.9085,Overcast,0.0,0.0,0,16,Spring,0
2022-04-19,-0.9793685734567453,2022,4,19,04-19,Tuesday,13.408501,4.7085,Overcast,0.0,0.0,0,16,Spring,0
2022-04-20,-0.20095568675493056,2022,4,20,04-20,Wednesday,14.7085,5.9084997,Light drizzle,0.0,0.2,0,16,Spring,0
2022-04-21,-1.0158566775208928,2022,4,21,04-21,Thursday,12.1085005,7.2085,Light drizzle,0.0,0.2,0,16,Spring,0
2022-04-22,0.042298340339386536,2022,4,22,04-22,Friday,13.5085,7.5084996,Light drizzle,0.0,0.0,0,16,Spring,0
2022-04-23,-0.16750825802946195,2022,4,23,04-23,Saturday,17.4085,5.8085,Overcast,0.0,0.0,0,16,Spring,0
2022-04-24,-1.6118290439019698,2022,4,24,04-24,Sunday,16.508501,7.1085,Moderate drizzle,0.0,0.0,0,16,Spring,0
2022-04-25,-1.344249614098221,2022,4,25,04-25,Monday,14.0085,5.0084996,Overcast,0.0,0.0,0,17,Spring,0
2022-04-26,-0.505023220622827,2022,4,26,04-26,Tuesday,16.9085,6.1085,Overcast,0.0,0.0,0,17,Spring,0
2022-04-27,-1.1982971978416308,2022,4,27,04-27,Wednesday,17.2085,7.4084997,Overcast,0.0,0.0,0,17,Spring,0
2022-04-28,-0.9793685734567453,2022,4,28,04-28,Thursday,17.1085,7.4084997,Overcast,0.0,0.0,0,17,Spring,0
2022-04-29,-0.833416157200155,2022,4,29,04-29,Friday,19.3085,7.3085,Overcast,0.0,0.0,1,17,Spring,0
2022-04-30,1.1278194362477767,2022,4,30,04-30,Saturday,18.6085,9.5085,Light drizzle,0.0,0.0,0,17,Spring,0
2022-05-01,-0.10365407591720373,2022,5,1,05-01,Sunday,16.7085,7.5084996,Light drizzle,0.0,0.0,0,17,Spring,0
2022-05-02,0.9180128378789282,2022,5,2,05-02,Monday,18.4085,9.0085,Overcast,0.0,0.0,0,18,Spring,0
2022-05-03,0.014932262291275865,2022,5,3,05-03,Tuesday,18.1085,9.1085005,Overcast,0.0,0.0,1,18,Spring,0
2022-05-04,-0.2587285181898309,2022,5,4,05-04,Wednesday,19.6085,9.6085005,Moderate drizzle,0.0,0.0,1,18,Spring,0
